"","country","region","continent","latitude","longitude","population","area_sq_mi","pop_density_per_sq_mi","net_migration","GDP_per_capita","HDI","gini_coefficient","consumer_price_index","gender_inequality_index","infant_mortality_per_1k","physicians_per_10k","pub_health_spend_pct_of_gdp","avg_years_of_education","pub_education_spend_pct_of_gdp","phones_per_1k","pct_of_internet_users","prison_pop_per_100k"
"24","Chile","Latin Amer. & Carib","South America",-35.675147,-71.542969,16134219,756950,21.3,0,9900,0.832178477211409,50.84,108.3544928,0.337591369303057,8.8,10.24,7.730832,9.786924362,4.553850174,213,72.35,266
"25","China","Asia","Asia",35.86166,104.195397,1313973713,9596960,136.9,-0.4,5000,0.727494941192669,37.01207517,111.0535416,0.190685514159557,24.18,14.56,5.567502,7.54,6.30308993666667,266.7,49.3,121
"26","Colombia","Latin Amer. & Carib","South America",4.570868,-74.297333,43593035,1138910,38.3,-0.31,6300,0.720170399971798,53.53,108.8551742,0.428534837599031,20.97,14.71,6.811924,7.349983663,4.929749966,176.2,52.57,245
"27","Costa Rica","Latin Amer. & Carib","North America",9.748917,-83.753428,4075261,51100,79.8,0.51,9100,0.765746904700121,48.61,115.3331981,0.349238580683672,9.95,11.13,9.868729,8.367648125,6.866449833,340.7,49.41,314
"29","Croatia","Eastern Europe","Europe",45.1,15.2,4494749,56542,79.5,1.58,10600,0.817539869013173,33.61,108.0833333,0.14888974299879,6.84,28.42,7.303316,11.02670097,4.206639767,420.4,68.57,108
"30","Cuba","Latin Amer. & Carib","North America",21.521757,-77.781167,11382820,110860,102.7,-1.58,2900,0.769011135126391,47.0833333333333,110.494156,0.355911775219899,6.33,67.23,8.810774,11.51362,12.83726978,74.7,30,510
"32","Denmark","Western Europe","Europe",56.26392,9.501785,5450661,43094,126.5,2.48,31100,0.923327926047681,26.88,106.0577185,0.0484322470579875,4.56,34.24,10.62326,12.72938824,8.745690346,614.6,95.99,73
"33","Dominican Republic","Latin Amer. & Carib","North America",18.735693,-70.162651,9183984,48730,188.5,-3.22,6000,0.71502847209969,45.68,117.9004948,0.477340658385209,32.38,14.9,5.398474,7.56,3.776200056,97.4,49.58,240
"34","Ecuador","Latin Amer. & Carib","South America",-1.831239,-78.183406,13547510,283560,47.8,-8.58,3300,0.731674443061735,46.57,112.8105507,0.407268763866313,23.66,16.87,6.395048,7.585,4.358260155,125.6,43,149
"35","El Salvador","Latin Amer. & Carib","North America",13.794185,-88.89653,6822378,21040,324.3,-3.74,4800,0.665784288496964,41.8,107.7947771,0.426899130571334,25.1,15.96,6.945801,6.514523029,3.417490005,142.4,29.7,422
"36","Estonia","Baltics","Europe",58.595272,25.013607,1324333,45226,29.3,-3.16,12300,0.860835015350877,32.69,112.1508859,0.163770230676162,7.87,32.61,5.723605,12.48,5.156990051,333.8,84.24,238
"37","Ethiopia","Sub-Saharan Africa","Africa",9.145,40.489673,74777981,1127127,66.3,0,700,0.441815954384227,33.6,176.773131,0.558285314779751,95.32,0.25,5.062669,2.412325859,4.737909794,8.2,2.9,136
"38","Fiji","Oceania","Oceania",-16.578193,179.414413,905949,18270,49.6,-3.14,5800,0.727135774475926,42.83,115.6508393,0.418116400368192,12.62,4.26,4.131533,9.91218949,4.19645977,112.6,41.8,174
"39","Finland","Western Europe","Europe",61.92411,25.748151,5231372,338145,15.5,0.95,27400,0.882727786825495,27.79,107.8903288,0.074720064093927,3.57,29.05,9.399151,10.286,6.761050224,405.3,92.38,58
"40","France","Western Europe","Europe",46.227638,2.213749,60876136,547030,111.3,0.66,27600,0.888107436522597,31.69,105.0137245,0.0883864096597609,4.26,31.8,11.66171,11.13314915,5.67538023,586.4,83.75,98
"41","Georgia","C.W. Of Ind. States","Asia",42.315407,43.356892,4661473,69700,66.9,-4.7,2500,0.75411864105962,41.35,106.9685008,0.381596771038713,18.59,42.36,9.432717,12.11,1.983309984,146.6,48.9,225
"42","Germany","Western Europe","Europe",51.165691,10.451526,82422299,357021,230.9,2.18,27600,0.916079907698891,30.63,105.692141,0.0407289546024232,4.16,38.06,11.29719,13.06677702,4.979529858,667.9,86.19,79
"43","Ghana","Sub-Saharan Africa","Africa",7.946527,-1.023194,22409572,239460,93.6,-0.64,2200,0.579090286681072,42.76,132.464651,0.553734019298327,51.43,0.96,5.390447,6.999,8.14097023,14.4,18.9,54
"44","Greece","Western Europe","Europe",39.074208,21.824312,10688058,131940,81,2.35,20000,0.86518718080572,34.74,103.9151459,0.146384924097212,5.53,43.8,9.821956,10.26,4.091110229,589.7,63.21,111
"45","Guatemala","Latin Amer. & Carib","North America",15.783471,-90.230759,12293545,108890,112.9,-1.67,4100,0.627208787889758,52.35,115.0207631,0.533192437921318,35.93,9.32,6.51574,5.599730015,2.845129967,92.1,23.4,105
"46","Guinea","Sub-Saharan Africa","Africa",9.945587,-9.696645,9690222,245857,39.4,-3.06,2100,0.411281627403836,33.68,156.4485904,0.491649247368941,90.37,1,4.694245,2.417763,2.471390009,2.7,1.72,25
"47","Guyana","Latin Amer. & Carib","South America",4.860416,-58.93018,767245,214970,3.6,-2.07,4000,0.635715749290017,49.9933333333333,109.458413,0.515278010612955,33.26,2.14,6.5,8.533,3.19404006,143.5,37.35,260
"49","Hungary","Eastern Europe","Europe",47.162494,19.503304,9981334,93030,107.3,0.86,13900,0.828350453189915,28.94,111.7853974,0.20886590451666,8.57,29.6,8.047233,11.63608,4.712250233,336.2,76.13,186
"50","Iceland","Western Europe","Europe",64.963051,-19.020835,299388,103000,2.9,2.38,30900,0.899412126842021,26.3,113.6425471,0.0869345190791848,3.31,34.76,9.058935,10.59,7.359960079,647.7,98.16,47
"51","India","Asia","Asia",20.593684,78.96288,1095351995,3287590,333.2,-0.07,2900,0.608692726635813,33.60168037,131.9747419,0.562867060437408,56.29,7.02,3.967993,5.39,3.791949987,45.4,18,30
"52","Indonesia","Asia","Asia",-0.789275,113.921327,245452739,1919440,127.9,0,3200,0.683759559291754,38.1406895,116.9100201,0.494013827919728,35.6,2.04,3.068364,7.5877435,3.567409992,52,17.14,59
"53","Iran","Asia","Asia",32.427908,53.688046,68688433,1648000,41.7,-0.84,7000,0.765590711027114,38.28,213.9536482,0.514622126737405,41.58,8.9,6.688835,8.17,3.679909945,276.4,39.35,284
"54","Iraq","Near East","Asia",33.223191,43.679291,26783383,437072,61.3,0,1500,0.653860838996062,29.54,114.3534281,0.538845061654232,50.25,6.07,5.215143,6.38,5.42001334833333,38.6,11.3,110
"55","Ireland","Western Europe","Europe",53.41291,-8.24389,4062235,70280,57.8,4.99,29600,0.915541561984203,32.06,104.8396802,0.112931536945731,5.39,27.19,8.921805,12.2,6.154679775,500.5,79.69,88
"56","Israel","Near East","Asia",31.046051,34.851612,6352117,20770,305.8,0.68,19800,0.894272980636247,42.78,106.8314903,0.100935551542961,7.03,33.46,7.237709,12.54470158,5.637189865,462.3,71.45,223
"57","Italy","Western Europe","Europe",41.87194,12.56738,58133509,301230,193,2.07,26700,0.873022984102699,35.52,107.1577369,0.067627165820866,5.94,40.92,9.090887,10.10184065,4.294929981,430.9,61.96,106
"58","Jamaica","Latin Amer. & Carib","North America",18.109581,-77.297508,2758124,10991,250.9,-4.92,3900,0.718529601920589,45.51,125.6885016,0.429960658468856,12.36,4.11,5.816326,9.67,6.256199837,124,40.5,152
"59","Japan","Asia","Asia",36.204824,138.252924,127463611,377835,337.4,0,28200,0.890593212589872,32.11,100.0416667,0.132589731065785,3.26,22.97,10.29905,11.52,3.849699974,461.2,90.58,51
"60","Jordan","Near East","Asia",30.585164,36.238414,5906760,92300,64,6.59,4300,0.748328541875565,33.69,115.370623,0.473382155320636,17.35,25.58,7.22403,9.908419609,4.773786545,104.5,44,95
"61","Kazakhstan","C.W. Of Ind. States","Asia",48.019573,66.923684,15233244,2717300,5.6,-3.35,6300,0.787982452162327,28.56,120.5365732,0.267227653823954,29.21,35.83,4.255974,11.42,3.060719967,164.1,54.89,295
"62","Kenya","Sub-Saharan Africa","Africa",-0.023559,37.906193,34707817,582650,59.6,-0.1,1000,0.548409284752484,47.68,131.8464844,0.552202337408778,61.47,1.81,4.476563,6.27,6.638899803,8.1,43.4,121
